************pruning  85  of the network****************
Layer-wise pruning =  False
Autoencoder layer-wise pruning percentages
encoder.0.weight :  128 / 144 0.8888888888888888
encoder.3.weight :  977 / 1152 0.8480902777777778
decoder.0.weight :  998 / 1152 0.8663194444444444
decoder.2.weight :  2724 / 3200 0.85125
decoder.4.weight :  1 / 32 0.03125
Fraction of weights pruned = 4828/5680 = 0.85
epoch [189/200], loss:0.1809
epoch [190/200], loss:0.1863
epoch [191/200], loss:0.1777
epoch [192/200], loss:0.1790
epoch [193/200], loss:0.1739
epoch [194/200], loss:0.1853
epoch [195/200], loss:0.1836
epoch [196/200], loss:0.1919
epoch [197/200], loss:0.1855
epoch [198/200], loss:0.1868
epoch [199/200], loss:0.1799
epoch [200/200], loss:0.1758
