************pruning  95  of the network****************
Layer-wise pruning =  False
Autoencoder layer-wise pruning percentages
encoder.0.weight :  140 / 144 0.9722222222222222
encoder.3.weight :  1102 / 1152 0.9565972222222222
decoder.0.weight :  1081 / 1152 0.9383680555555556
decoder.2.weight :  3071 / 3200 0.9596875
decoder.4.weight :  2 / 32 0.0625
Fraction of weights pruned = 5396/5680 = 0.95
Loading saved autoencoder named  ./mnist/before_train.pth
epoch [187/200], loss:0.2638
epoch [188/200], loss:0.2760
epoch [189/200], loss:0.2666
epoch [190/200], loss:0.2728
epoch [191/200], loss:0.2691
epoch [192/200], loss:0.2718
epoch [193/200], loss:0.2844
epoch [194/200], loss:0.2744
epoch [195/200], loss:0.2926
epoch [196/200], loss:0.2957
epoch [197/200], loss:0.2862
epoch [198/200], loss:0.2642
epoch [199/200], loss:0.2829
epoch [200/200], loss:0.2753
